pre_nms_top_n=12000,post_nms_top_n=2000,nms_thresh=.5,min_size=.1,eta=1.
 
Inputs: Anchors{LoDTensor<float, (2139, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 23, 31)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 23, 31)>}, Variances{LoDTensor<float, (2139, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (781, 1)>}, RpnRois{LoDTensor<float, (781, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (2139, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 31, 23)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 31, 23)>}, Variances{LoDTensor<float, (2139, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (781, 1)>}, RpnRois{LoDTensor<float, (781, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (2178, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 22, 33)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 22, 33)>}, Variances{LoDTensor<float, (2178, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (775, 1)>}, RpnRois{LoDTensor<float, (775, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (23232, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 88, 88)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 88, 88)>}, Variances{LoDTensor<float, (23232, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1083, 1)>}, RpnRois{LoDTensor<float, (1083, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (2376, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 33, 24)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 33, 24)>}, Variances{LoDTensor<float, (2376, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (776, 1)>}, RpnRois{LoDTensor<float, (776, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (2550, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 25, 34)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 25, 34)>}, Variances{LoDTensor<float, (2550, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (795, 1)>}, RpnRois{LoDTensor<float, (795, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (25920, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 80, 108)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 80, 108)>}, Variances{LoDTensor<float, (25920, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1118, 1)>}, RpnRois{LoDTensor<float, (1118, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (2850, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 25, 38)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 25, 38)>}, Variances{LoDTensor<float, (2850, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (828, 1)>}, RpnRois{LoDTensor<float, (828, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (29760, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 80, 124)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 80, 124)>}, Variances{LoDTensor<float, (29760, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1, 1)>}, RpnRois{LoDTensor<float, (1, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (31680, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 88, 120)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 88, 120)>}, Variances{LoDTensor<float, (31680, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1115, 1)>}, RpnRois{LoDTensor<float, (1115, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (32256, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 84, 128)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 84, 128)>}, Variances{LoDTensor<float, (32256, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1090, 1)>}, RpnRois{LoDTensor<float, (1090, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (34224, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 124, 92)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 124, 92)>}, Variances{LoDTensor<float, (34224, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1125, 1)>}, RpnRois{LoDTensor<float, (1125, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (34224, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 92, 124)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 92, 124)>}, Variances{LoDTensor<float, (34224, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1032, 1)>}, RpnRois{LoDTensor<float, (1032, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (34224, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 92, 124)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 92, 124)>}, Variances{LoDTensor<float, (34224, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1170, 1)>}, RpnRois{LoDTensor<float, (1170, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (34848, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 88, 132)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 88, 132)>}, Variances{LoDTensor<float, (34848, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1162, 1)>}, RpnRois{LoDTensor<float, (1162, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (363, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 11, 11)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 11, 11)>}, Variances{LoDTensor<float, (363, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (75, 1)>}, RpnRois{LoDTensor<float, (75, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (38016, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 132, 96)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 132, 96)>}, Variances{LoDTensor<float, (38016, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1053, 1)>}, RpnRois{LoDTensor<float, (1053, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (40800, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 100, 136)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 100, 136)>}, Variances{LoDTensor<float, (40800, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1038, 1)>}, RpnRois{LoDTensor<float, (1038, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (420, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 10, 14)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 10, 14)>}, Variances{LoDTensor<float, (420, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (90, 1)>}, RpnRois{LoDTensor<float, (90, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (45600, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 100, 152)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 100, 152)>}, Variances{LoDTensor<float, (45600, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1110, 1)>}, RpnRois{LoDTensor<float, (1110, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (480, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 10, 16)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 10, 16)>}, Variances{LoDTensor<float, (480, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1, 1)>}, RpnRois{LoDTensor<float, (1, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (495, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 11, 15)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 11, 15)>}, Variances{LoDTensor<float, (495, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (108, 1)>}, RpnRois{LoDTensor<float, (108, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (528, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 11, 16)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 11, 16)>}, Variances{LoDTensor<float, (528, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (123, 1)>}, RpnRois{LoDTensor<float, (123, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (528, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 11, 16)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 11, 16)>}, Variances{LoDTensor<float, (528, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (124, 1)>}, RpnRois{LoDTensor<float, (124, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
